model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
CVNCF,200,1,128,128,0.0001,10,0.0001,140,1,Adam,0.4707,0.5021,0.3794,0.5076
CVNCF,200,1,128,128,0.0001,10,0.0001,150,1,Adam,0.4727,0.5037,0.3802,0.5085
CVNCF,200,1,128,128,0.0001,10,0.0001,160,1,Adam,0.4717,0.5026,0.3792,0.5071
CVNCF,200,1,128,128,0.0001,10,0.0001,170,1,Adam,0.4735,0.5044,0.3806,0.5089
CVNCF,200,1,128,128,0.0001,10,0.0001,180,1,Adam,0.4765,0.508,0.3839,0.5129
CVNCF,200,1,128,128,0.0001,10,0.0001,190,1,Adam,0.4771,0.5085,0.3839,0.5135
CVNCF,200,1,128,128,0.0001,10,0.0001,200,1,Adam,0.4754,0.5062,0.3819,0.5101
CVNCF,200,1,128,128,0.0001,10,0.0001,210,1,Adam,0.4773,0.5085,0.3841,0.5135
CVNCF,200,1,128,128,0.0001,10,0.0001,220,1,Adam,0.479,0.5108,0.386,0.5162
CVNCF,200,1,128,128,0.0001,10,0.0001,230,1,Adam,0.4794,0.5113,0.3867,0.5167
CVNCF,200,1,128,128,0.0001,10,0.0001,240,1,Adam,0.4769,0.5081,0.3837,0.5128
CVNCF,200,1,128,128,0.0001,10,0.0001,250,1,Adam,0.4802,0.5119,0.387,0.5172
CVNCF,200,1,128,128,0.0001,10,0.0001,260,1,Adam,0.4801,0.5117,0.3868,0.5167
CVNCF,200,1,128,128,0.0001,10,0.0001,270,1,Adam,0.4806,0.5117,0.3868,0.5163
CVNCF,200,1,128,128,0.0001,10,0.0001,280,1,Adam,0.4812,0.5126,0.3874,0.5175
CVNCF,200,1,128,128,0.0001,10,0.0001,290,1,Adam,0.4824,0.5141,0.3885,0.519
CVNCF,200,1,128,128,0.0001,10,0.0001,300,1,Adam,0.4809,0.5131,0.388,0.5186
IVNCF,200,1,128,128,5e-05,10,0.0001,10,1,Adam,0.476,0.5124,0.3932,0.5269
IVNCF,200,1,128,128,5e-05,10,0.0001,20,1,Adam,0.483,0.5191,0.3957,0.5309
IVNCF,200,1,128,128,5e-05,10,0.0001,30,1,Adam,0.4824,0.5176,0.3942,0.5281
IVNCF,200,1,128,128,5e-05,10,0.0001,40,1,Adam,0.4791,0.5151,0.392,0.526
IVNCF,200,1,128,128,5e-05,10,0.0001,50,1,Adam,0.4814,0.5169,0.3926,0.5272
IVNCF,200,1,128,128,5e-05,10,0.0001,60,1,Adam,0.4804,0.5157,0.3917,0.5256
IVNCF,200,1,128,128,5e-05,10,0.0001,70,1,Adam,0.4775,0.5129,0.3898,0.5233
IVNCF,200,1,128,128,5e-05,10,0.0001,80,1,Adam,0.4795,0.5138,0.3898,0.5227
IVNCF,200,1,128,128,5e-05,10,0.0001,90,1,Adam,0.4793,0.5131,0.3896,0.5216
IVNCF,200,1,128,128,5e-05,10,0.0001,100,1,Adam,0.4797,0.5143,0.3907,0.524
IVNCF,200,1,128,128,5e-05,10,0.0001,110,1,Adam,0.4784,0.5125,0.3896,0.5218
IVNCF,200,1,128,128,5e-05,10,0.0001,120,1,Adam,0.4796,0.5141,0.3913,0.5236
IVNCF,200,1,128,128,5e-05,10,0.0001,130,1,Adam,0.483,0.5175,0.3932,0.5268
IVNCF,200,1,128,128,5e-05,10,0.0001,140,1,Adam,0.4803,0.5146,0.3909,0.5237
IVNCF,200,1,128,128,5e-05,10,0.0001,150,1,Adam,0.4832,0.518,0.3941,0.5277
IVNCF,200,1,128,128,5e-05,10,0.0001,160,1,Adam,0.4796,0.5137,0.3902,0.5227
IVNCF,200,1,128,128,5e-05,10,0.0001,170,1,Adam,0.4786,0.5127,0.3893,0.5212
IVNCF,200,1,128,128,5e-05,10,0.0001,180,1,Adam,0.4815,0.5151,0.3916,0.5237
IVNCF,200,1,128,128,5e-05,10,0.0001,190,1,Adam,0.4818,0.516,0.3926,0.5252
IVNCF,200,1,128,128,5e-05,10,0.0001,200,1,Adam,0.4811,0.5154,0.3922,0.5251
IVNCF,200,1,128,128,5e-05,10,0.0001,210,1,Adam,0.4821,0.5171,0.3935,0.5271
IVNCF,200,1,128,128,5e-05,10,0.0001,220,1,Adam,0.4847,0.5195,0.3953,0.5294
IVNCF,200,1,128,128,5e-05,10,0.0001,230,1,Adam,0.4824,0.517,0.3935,0.5267
IVNCF,200,1,128,128,5e-05,10,0.0001,240,1,Adam,0.4795,0.5133,0.3902,0.522
IVNCF,200,1,128,128,5e-05,10,0.0001,250,1,Adam,0.4831,0.5169,0.3932,0.5255
IVNCF,200,1,128,128,5e-05,10,0.0001,260,1,Adam,0.4815,0.5155,0.392,0.5243
IVNCF,200,1,128,128,5e-05,10,0.0001,270,1,Adam,0.4821,0.5156,0.3922,0.5241
IVNCF,200,1,128,128,5e-05,10,0.0001,280,1,Adam,0.4857,0.5198,0.3955,0.5289
IVNCF,200,1,128,128,5e-05,10,0.0001,290,1,Adam,0.4832,0.5173,0.3937,0.5266
IVNCF,200,1,128,128,5e-05,10,0.0001,300,1,Adam,0.4838,0.5177,0.3936,0.5265
CNCF,200,1,128,128,0.0001,10,0.0005,10,1,Adam,0.2904,0.3102,0.2342,0.3119
CNCF,200,1,128,128,0.0001,10,0.0005,20,1,Adam,0.3069,0.3264,0.2441,0.3264
CNCF,200,1,128,128,0.0001,10,0.0005,30,1,Adam,0.3207,0.3401,0.2534,0.3387
CNCF,200,1,128,128,0.0001,10,0.0005,40,1,Adam,0.3312,0.3505,0.2622,0.3494
CNCF,200,1,128,128,0.0001,10,0.0005,50,1,Adam,0.3382,0.3575,0.2666,0.3553
CNCF,200,1,128,128,0.0001,10,0.0005,60,1,Adam,0.3321,0.3511,0.2623,0.3494
CNCF,200,1,128,128,0.0001,10,0.0005,70,1,Adam,0.3386,0.3578,0.267,0.3557
CNCF,200,1,128,128,0.0001,10,0.0005,80,1,Adam,0.3491,0.3682,0.2745,0.3654
CNCF,200,1,128,128,0.0001,10,0.0005,90,1,Adam,0.3506,0.3699,0.2754,0.367
CNCF,200,1,128,128,0.0001,10,0.0005,100,1,Adam,0.3486,0.368,0.2743,0.3654
CNCF,200,1,128,128,0.0001,10,0.0005,110,1,Adam,0.3538,0.3731,0.2779,0.3701
CNCF,200,1,128,128,0.0001,10,0.0005,120,1,Adam,0.3568,0.3762,0.2803,0.373
CNCF,200,1,128,128,0.0001,10,0.0005,130,1,Adam,0.3562,0.3748,0.2787,0.3708
CNCF,200,1,128,128,0.0001,10,0.0005,140,1,Adam,0.3579,0.3766,0.2805,0.3731
CNCF,200,1,128,128,0.0001,10,0.0005,150,1,Adam,0.358,0.3763,0.2795,0.3718
CNCF,200,1,128,128,0.0001,10,0.0005,160,1,Adam,0.3571,0.3753,0.2788,0.3704
CNCF,200,1,128,128,0.0001,10,0.0005,170,1,Adam,0.3638,0.3821,0.2834,0.3772
CNCF,200,1,128,128,0.0001,10,0.0005,180,1,Adam,0.3648,0.3834,0.2848,0.3787
CNCF,200,1,128,128,0.0001,10,0.0005,190,1,Adam,0.3665,0.3846,0.2856,0.3792
CNCF,200,1,128,128,0.0001,10,0.0005,200,1,Adam,0.3657,0.3848,0.2866,0.3807
CNCF,200,1,128,128,0.0001,10,0.0005,210,1,Adam,0.3702,0.3893,0.2896,0.3848
CNCF,200,1,128,128,0.0001,10,0.0005,220,1,Adam,0.3732,0.3914,0.2904,0.3861
CNCF,200,1,128,128,0.0001,10,0.0005,230,1,Adam,0.368,0.3864,0.2871,0.3813
CNCF,200,1,128,128,0.0001,10,0.0005,240,1,Adam,0.3683,0.3863,0.2874,0.3813
CNCF,200,1,128,128,0.0001,10,0.0005,250,1,Adam,0.3729,0.3909,0.2898,0.3847
CNCF,200,1,128,128,0.0001,10,0.0005,260,1,Adam,0.3767,0.395,0.2933,0.3892
CNCF,200,1,128,128,0.0001,10,0.0005,270,1,Adam,0.38,0.3992,0.2964,0.3939
CNCF,200,1,128,128,0.0001,10,0.0005,280,1,Adam,0.3708,0.3885,0.2878,0.3824
CNCF,200,1,128,128,0.0001,10,0.0005,290,1,Adam,0.3783,0.3973,0.2952,0.3921
CNCF,200,1,128,128,0.0001,10,0.0005,300,1,Adam,0.3762,0.3946,0.293,0.3886
INCF,200,1,128,128,0.0001,10,0.0005,10,1,Adam,0.4821,0.5167,0.3911,0.5252
INCF,200,1,128,128,0.0001,10,0.0005,20,1,Adam,0.4814,0.5137,0.39,0.5208
INCF,200,1,128,128,0.0001,10,0.0005,30,1,Adam,0.4829,0.5134,0.3883,0.5178
INCF,200,1,128,128,0.0001,10,0.0005,40,1,Adam,0.4791,0.5093,0.3861,0.5133
INCF,200,1,128,128,0.0001,10,0.0005,50,1,Adam,0.4918,0.5229,0.396,0.5282
INCF,200,1,128,128,0.0001,10,0.0005,60,1,Adam,0.4888,0.5187,0.393,0.5225
INCF,200,1,128,128,0.0001,10,0.0005,70,1,Adam,0.4866,0.5166,0.3905,0.5196
INCF,200,1,128,128,0.0001,10,0.0005,80,1,Adam,0.4919,0.5228,0.3961,0.5267
INCF,200,1,128,128,0.0001,10,0.0005,90,1,Adam,0.4927,0.5243,0.3971,0.5291
INCF,200,1,128,128,0.0001,10,0.0005,100,1,Adam,0.4924,0.5222,0.3953,0.5255
INCF,200,1,128,128,0.0001,10,0.0005,110,1,Adam,0.4975,0.5276,0.3997,0.531
INCF,200,1,128,128,0.0001,10,0.0005,120,1,Adam,0.4987,0.5295,0.4001,0.5325
INCF,200,1,128,128,0.0001,10,0.0005,130,1,Adam,0.4978,0.5281,0.3995,0.5306
INCF,200,1,128,128,0.0001,10,0.0005,140,1,Adam,0.4924,0.5208,0.3935,0.5219
INCF,200,1,128,128,0.0001,10,0.0005,150,1,Adam,0.4976,0.5274,0.3995,0.5298
INCF,200,1,128,128,0.0001,10,0.0005,160,1,Adam,0.496,0.5262,0.3988,0.5291
INCF,200,1,128,128,0.0001,10,0.0005,170,1,Adam,0.4889,0.5168,0.3907,0.5168
INCF,200,1,128,128,0.0001,10,0.0005,180,1,Adam,0.4964,0.5259,0.3985,0.5281
INCF,200,1,128,128,0.0001,10,0.0005,190,1,Adam,0.4952,0.5236,0.3957,0.5238
INCF,200,1,128,128,0.0001,10,0.0005,200,1,Adam,0.496,0.5255,0.3984,0.5274
INCF,200,1,128,128,0.0001,10,0.0005,210,1,Adam,0.4973,0.5271,0.3997,0.5294
INCF,200,1,128,128,0.0001,10,0.0005,220,1,Adam,0.5027,0.5338,0.404,0.5367
INCF,200,1,128,128,0.0001,10,0.0005,230,1,Adam,0.5028,0.5321,0.4023,0.5323
INCF,200,1,128,128,0.0001,10,0.0005,240,1,Adam,0.4994,0.5278,0.3995,0.5286
INCF,200,1,128,128,0.0001,10,0.0005,250,1,Adam,0.4975,0.5273,0.3999,0.5292
INCF,200,1,128,128,0.0001,10,0.0005,260,1,Adam,0.5046,0.5345,0.4044,0.5356
INCF,200,1,128,128,0.0001,10,0.0005,270,1,Adam,0.5036,0.5329,0.404,0.5343
INCF,200,1,128,128,0.0001,10,0.0005,280,1,Adam,0.5072,0.538,0.4078,0.5402
INCF,200,1,128,128,0.0001,10,0.0005,290,1,Adam,0.5058,0.5349,0.4048,0.5354
INCF,200,1,128,128,0.0001,10,0.0005,300,1,Adam,0.5022,0.5319,0.4033,0.5338
CVNCF,200,1,128,128,0.0001,10,0.0001,10,1,Adam,0.4165,0.4431,0.3384,0.4494
CVNCF,200,1,128,128,0.0001,10,0.0001,20,1,Adam,0.4027,0.4266,0.3243,0.4289
CVNCF,200,1,128,128,0.0001,10,0.0001,30,1,Adam,0.4179,0.4434,0.3358,0.4464
CVNCF,200,1,128,128,0.0001,10,0.0001,40,1,Adam,0.4276,0.4541,0.3433,0.4577
CVNCF,200,1,128,128,0.0001,10,0.0001,50,1,Adam,0.4355,0.4621,0.3484,0.4649
CVNCF,200,1,128,128,0.0001,10,0.0001,60,1,Adam,0.4424,0.4698,0.3541,0.473
CVNCF,200,1,128,128,0.0001,10,0.0001,70,1,Adam,0.4444,0.4725,0.3563,0.4762
CVNCF,200,1,128,128,0.0001,10,0.0001,80,1,Adam,0.4514,0.4804,0.3626,0.4849
CVNCF,200,1,128,128,0.0001,10,0.0001,90,1,Adam,0.4563,0.4854,0.366,0.4896
CVNCF,200,1,128,128,0.0001,10,0.0001,100,1,Adam,0.458,0.487,0.3671,0.4909
CVNCF,200,1,128,128,0.0001,10,0.0001,110,1,Adam,0.4623,0.4924,0.371,0.497
