model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
CE-VNCF,200,1,128,128,0.0001,10,0.0001,100,5,Adam,0.2935,0.5535,0.185,0.6704
CE-VNCF,200,1,128,128,0.0001,10,0.0001,110,5,Adam,0.2971,0.5604,0.1876,0.6784
CE-VNCF,200,1,128,128,0.0001,10,0.0001,120,5,Adam,0.2992,0.5639,0.1889,0.6824
CE-VNCF,200,1,128,128,0.0001,10,0.0001,130,5,Adam,0.2997,0.5648,0.1888,0.6829
CE-VNCF,200,1,128,128,0.0001,10,0.0001,140,5,Adam,0.299,0.5645,0.1893,0.6857
CE-VNCF,200,1,128,128,0.0001,10,0.0001,150,5,Adam,0.3012,0.5694,0.1918,0.694
CE-VNCF,200,1,128,128,0.0001,10,0.0001,160,5,Adam,0.3056,0.5765,0.1918,0.6952
CE-VNCF,200,1,128,128,0.0001,10,0.0001,170,5,Adam,0.3066,0.5781,0.1934,0.6996
CE-VNCF,200,1,128,128,0.0001,10,0.0001,180,5,Adam,0.307,0.5783,0.1926,0.6965
CE-VNCF,200,1,128,128,0.0001,10,0.0001,190,5,Adam,0.307,0.5787,0.1926,0.6967
CE-VNCF,200,1,128,128,0.0001,10,0.0001,200,5,Adam,0.3089,0.5826,0.1942,0.7027
CE-VNCF,200,1,128,128,0.0001,10,0.0001,210,5,Adam,0.3098,0.5839,0.1945,0.7029
CE-VNCF,200,1,128,128,0.0001,10,0.0001,220,5,Adam,0.3098,0.5837,0.1946,0.704
CE-VNCF,200,1,128,128,0.0001,10,0.0001,230,5,Adam,0.31,0.5837,0.1941,0.7024
CE-VNCF,200,1,128,128,0.0001,10,0.0001,240,5,Adam,0.3064,0.578,0.1941,0.7001
CE-VNCF,200,1,128,128,0.0001,10,0.0001,250,5,Adam,0.3098,0.5846,0.1959,0.707
CE-VNCF,200,1,128,128,0.0001,10,0.0001,260,5,Adam,0.3103,0.5848,0.1949,0.7044
CE-VNCF,200,1,128,128,0.0001,10,0.0001,270,5,Adam,0.3115,0.5865,0.1947,0.7035
CE-VNCF,200,1,128,128,0.0001,10,0.0001,280,5,Adam,0.313,0.5901,0.1969,0.7112
CE-VNCF,200,1,128,128,0.0001,10,0.0001,290,5,Adam,0.3138,0.5904,0.1963,0.7068
CE-VNCF,200,1,128,128,0.0001,10,0.0001,300,5,Adam,0.3129,0.5891,0.1961,0.7064
CE-NCF,100,1,128,128,0.001,10,0.0001,10,5,Adam,0.1513,0.2974,0.1104,0.3996
CE-NCF,100,1,128,128,0.001,10,0.0001,20,5,Adam,0.1888,0.3614,0.1264,0.4556
CE-NCF,100,1,128,128,0.001,10,0.0001,30,5,Adam,0.2191,0.4115,0.139,0.4991
CE-NCF,100,1,128,128,0.001,10,0.0001,40,5,Adam,0.2409,0.4487,0.1496,0.5335
CE-NCF,100,1,128,128,0.001,10,0.0001,50,5,Adam,0.2541,0.4737,0.1593,0.5664
CE-NCF,100,1,128,128,0.001,10,0.0001,60,5,Adam,0.2614,0.4889,0.1653,0.5878
CE-NCF,100,1,128,128,0.001,10,0.0001,70,5,Adam,0.2649,0.4964,0.1698,0.6033
CE-NCF,100,1,128,128,0.001,10,0.0001,80,5,Adam,0.2686,0.5054,0.1732,0.6168
