model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
NCF,200,1,128,128,0.0001,10,0.001,220,5,Adam,3.6283,0.0404,0.0428,0.0372,0.0271,0.0521
NCF,200,1,128,128,0.0001,10,0.001,230,5,Adam,3.556,0.0435,0.0455,0.0396,0.0296,0.0553
NCF,200,1,128,128,0.0001,10,0.001,240,5,Adam,3.6104,0.0424,0.0442,0.0381,0.0283,0.0522
NCF,200,1,128,128,0.0001,10,0.001,250,5,Adam,3.6121,0.0415,0.0427,0.0382,0.0272,0.0513
NCF,200,1,128,128,0.0001,10,0.001,260,5,Adam,3.6546,0.0409,0.0427,0.0374,0.0268,0.0514
NCF,200,1,128,128,0.0001,10,0.001,270,5,Adam,3.6181,0.0416,0.0432,0.0373,0.0282,0.0521
NCF,200,1,128,128,0.0001,10,0.001,280,5,Adam,3.6775,0.0394,0.0411,0.0364,0.0256,0.0502
NCF,200,1,128,128,0.0001,10,0.001,290,5,Adam,3.6283,0.0414,0.043,0.0375,0.0276,0.0515
NCF,200,1,128,128,0.0001,10,0.001,300,5,Adam,3.613,0.0416,0.0433,0.0381,0.0275,0.0529
CE-NCF,200,1,128,128,0.0001,10,0.001,10,5,Adam,3.6979,0.0386,0.0399,0.0345,0.0267,0.0463
CE-NCF,200,1,128,128,0.0001,10,0.001,20,5,Adam,3.6741,0.0374,0.0386,0.0358,0.0252,0.0477
CE-NCF,200,1,128,128,0.0001,10,0.001,30,5,Adam,3.6198,0.0411,0.0432,0.038,0.0283,0.0518
CE-NCF,200,1,128,128,0.0001,10,0.001,40,5,Adam,3.5713,0.0427,0.0459,0.0384,0.0298,0.0557
CE-NCF,200,1,128,128,0.0001,10,0.001,50,5,Adam,3.5441,0.0414,0.0446,0.0391,0.028,0.0552
CE-NCF,200,1,128,128,0.0001,10,0.001,60,5,Adam,3.5917,0.0415,0.0433,0.0388,0.0284,0.0533
CE-NCF,200,1,128,128,0.0001,10,0.001,70,5,Adam,3.5934,0.0418,0.0454,0.0381,0.0295,0.0544
CE-NCF,200,1,128,128,0.0001,10,0.001,80,5,Adam,3.5543,0.0427,0.046,0.0386,0.0294,0.0566
CE-NCF,200,1,128,128,0.0001,10,0.001,90,5,Adam,3.5067,0.044,0.0475,0.0403,0.0297,0.0588
