model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
VNCF,100,1,128,128,5e-05,10,0.0005,170,5,Adam,3.2055,0.0599,0.0922,0.0506,0.0561,0.1217
VNCF,100,1,128,128,5e-05,10,0.0005,180,5,Adam,3.2038,0.061,0.0936,0.0511,0.0575,0.1229
VNCF,100,1,128,128,5e-05,10,0.0005,190,5,Adam,3.2369,0.062,0.0947,0.0504,0.0596,0.1207
VNCF,100,1,128,128,5e-05,10,0.0005,200,5,Adam,3.2121,0.061,0.0933,0.0512,0.0579,0.122
VNCF,100,1,128,128,5e-05,10,0.0005,210,5,Adam,3.2088,0.0617,0.0939,0.0513,0.0578,0.1219
VNCF,100,1,128,128,5e-05,10,0.0005,220,5,Adam,3.203,0.0606,0.0937,0.0512,0.0577,0.123
VNCF,100,1,128,128,5e-05,10,0.0005,230,5,Adam,3.2138,0.063,0.0949,0.0514,0.0575,0.1228
VNCF,100,1,128,128,5e-05,10,0.0005,240,5,Adam,3.2319,0.062,0.0943,0.051,0.0595,0.1216
VNCF,100,1,128,128,5e-05,10,0.0005,250,5,Adam,3.2187,0.0616,0.0939,0.0515,0.0588,0.1227
VNCF,100,1,128,128,5e-05,10,0.0005,260,5,Adam,3.2088,0.0601,0.0926,0.0508,0.0576,0.1226
VNCF,100,1,128,128,5e-05,10,0.0005,270,5,Adam,3.2138,0.0617,0.0941,0.0517,0.057,0.1228
VNCF,100,1,128,128,5e-05,10,0.0005,280,5,Adam,3.2228,0.0609,0.0929,0.0508,0.0582,0.1215
VNCF,100,1,128,128,5e-05,10,0.0005,290,5,Adam,3.2195,0.0611,0.0934,0.051,0.0576,0.1228
VNCF,100,1,128,128,5e-05,10,0.0005,300,5,Adam,3.2162,0.061,0.0938,0.0514,0.0569,0.1233
CE-NCF,100,1,128,128,5e-05,10,0.001,10,5,Adam,3.3601,0.0456,0.071,0.0446,0.0419,0.1064
CE-NCF,100,1,128,128,5e-05,10,0.001,20,5,Adam,3.3518,0.0537,0.0827,0.0452,0.0501,0.1096
CE-NCF,100,1,128,128,5e-05,10,0.001,30,5,Adam,3.2419,0.0589,0.0903,0.0485,0.0553,0.1185
CE-NCF,100,1,128,128,5e-05,10,0.001,40,5,Adam,3.2344,0.0599,0.0916,0.0491,0.0564,0.1201
