model,rank,lambda,epoch,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CNCF,100,0.0001,80,RMSProp,3.5426,0.0545,0.0801,0.0432,0.0497,0.1031
CNCF,100,0.0001,85,RMSProp,3.5679,0.0509,0.0757,0.0424,0.0468,0.1011
CNCF,100,0.0001,90,RMSProp,3.5471,0.0519,0.0765,0.0424,0.0467,0.1016
CNCF,100,0.0001,95,RMSProp,3.5316,0.0551,0.0817,0.0431,0.0515,0.1036
CNCF,100,0.0001,100,RMSProp,3.5938,0.0516,0.0758,0.0415,0.0469,0.0983
CNCF,100,0.0001,105,RMSProp,3.5114,0.0566,0.0826,0.0438,0.0527,0.1043
CNCF,100,0.0001,110,RMSProp,3.5344,0.0561,0.0822,0.0429,0.0531,0.1026
CNCF,100,0.0001,115,RMSProp,3.5141,0.0561,0.0824,0.0436,0.0524,0.1045
CNCF,100,0.0001,120,RMSProp,3.5076,0.0576,0.0849,0.0441,0.0551,0.106
CNCF,100,0.0001,125,RMSProp,3.4889,0.058,0.0856,0.0445,0.0551,0.1076
CNCF,100,0.0001,130,RMSProp,3.5581,0.0505,0.0747,0.0422,0.046,0.1006
CNCF,100,0.0001,135,RMSProp,3.5246,0.0559,0.0823,0.0436,0.0518,0.1053
CNCF,100,0.0001,140,RMSProp,3.5218,0.0562,0.0825,0.0433,0.0529,0.1036
CNCF,100,0.0001,145,RMSProp,3.5354,0.0559,0.0817,0.043,0.0526,0.1025
CNCF,100,0.0001,150,RMSProp,3.5245,0.057,0.084,0.0433,0.0552,0.1047
CNCF,100,0.0001,5,RMSProp,4.8037,0.0048,0.0062,0.0048,0.0037,0.0079
CNCF,100,0.0001,10,RMSProp,4.5525,0.013,0.0186,0.0112,0.0117,0.0236
CNCF,100,0.0001,15,RMSProp,4.2674,0.0211,0.0308,0.0189,0.0194,0.0412
CNCF,100,0.0001,20,RMSProp,4.0815,0.0282,0.0412,0.0253,0.0252,0.0562
CNCF,100,0.0001,25,RMSProp,3.8929,0.0379,0.0559,0.031,0.0352,0.0714
CNCF,100,0.0001,30,RMSProp,3.8042,0.0422,0.062,0.0345,0.0398,0.0801
CNCF,100,0.0001,35,RMSProp,3.7884,0.0437,0.0636,0.035,0.0403,0.0801
CNCF,100,0.0001,40,RMSProp,3.6987,0.0487,0.0712,0.0379,0.0458,0.0882
CNCF,100,0.0001,45,RMSProp,3.6391,0.0515,0.076,0.0394,0.0494,0.0933
CNCF,100,0.0001,50,RMSProp,3.6483,0.0506,0.0738,0.0396,0.0472,0.0924
CNCF,100,0.0001,55,RMSProp,3.5943,0.0516,0.0766,0.0411,0.0485,0.0975
CNCF,100,0.0001,60,RMSProp,3.5868,0.0527,0.078,0.0413,0.0496,0.0973
CNCF,100,0.0001,65,RMSProp,3.561,0.0537,0.08,0.0427,0.0518,0.1008
CNCF,100,0.0001,70,RMSProp,3.5861,0.0532,0.0782,0.0416,0.0501,0.098
CNCF,100,0.0001,75,RMSProp,3.6344,0.0473,0.0704,0.0407,0.0419,0.0949
CNCF,100,0.0001,80,RMSProp,3.5902,0.0513,0.0757,0.0416,0.0473,0.0987
CNCF,100,0.0001,85,RMSProp,3.5547,0.0537,0.0797,0.043,0.0501,0.1021
CNCF,100,0.0001,90,RMSProp,3.5533,0.0544,0.0799,0.0425,0.0509,0.1007
CNCF,100,0.0001,95,RMSProp,3.5652,0.0537,0.0793,0.0425,0.0502,0.1012
CNCF,100,0.0001,100,RMSProp,3.5449,0.0561,0.0819,0.0429,0.0526,0.1022
CNCF,100,0.0001,105,RMSProp,3.5807,0.0533,0.0774,0.0419,0.0488,0.0984
CNCF,100,0.0001,110,RMSProp,3.5746,0.0494,0.0729,0.042,0.0432,0.099
CNCF,100,0.0001,115,RMSProp,3.5413,0.0542,0.0794,0.0428,0.05,0.1021
CNCF,100,0.0001,120,RMSProp,3.6109,0.0498,0.0728,0.0411,0.0441,0.0965
CNCF,100,0.0001,125,RMSProp,3.5763,0.0498,0.0738,0.0425,0.0438,0.1003
CNCF,100,0.0001,130,RMSProp,3.551,0.0521,0.0772,0.0429,0.0466,0.1022
CNCF,100,0.0001,135,RMSProp,3.5162,0.0556,0.082,0.0437,0.0529,0.1036
CNCF,100,0.0001,140,RMSProp,3.5057,0.0566,0.0844,0.044,0.0544,0.1064
CNCF,100,0.0001,145,RMSProp,3.5693,0.0484,0.0725,0.042,0.0429,0.1009
CNCF,100,0.0001,150,RMSProp,3.5282,0.0556,0.0822,0.0436,0.0519,0.1047
