model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
IVNCF,200,1,128,128,5e-05,10,0.0001,125,5,Adam,3.3816,0.052,0.0801,0.0448,0.0481,0.1079
IVNCF,200,1,128,128,5e-05,10,0.0001,130,5,Adam,3.3617,0.0561,0.0848,0.0455,0.0536,0.1097
IVNCF,200,1,128,128,5e-05,10,0.0001,135,5,Adam,3.3534,0.0545,0.0833,0.0451,0.0518,0.1079
IVNCF,200,1,128,128,5e-05,10,0.0001,140,5,Adam,3.3452,0.0557,0.0843,0.0462,0.0531,0.1105
IVNCF,200,1,128,128,5e-05,10,0.0001,145,5,Adam,3.3741,0.0549,0.0829,0.0451,0.0517,0.1083
IVNCF,200,1,128,128,5e-05,10,0.0001,150,5,Adam,3.4171,0.0537,0.0809,0.0444,0.0514,0.1049
IVNCF,200,1,128,128,5e-05,10,0.0001,155,5,Adam,3.3402,0.0553,0.0851,0.0457,0.0524,0.1115
IVNCF,200,1,128,128,5e-05,10,0.0001,160,5,Adam,3.3237,0.0582,0.0881,0.0464,0.0551,0.1128
IVNCF,200,1,128,128,5e-05,10,0.0001,165,5,Adam,3.3725,0.0551,0.0835,0.0451,0.0525,0.1077
IVNCF,200,1,128,128,5e-05,10,0.0001,170,5,Adam,3.3906,0.0529,0.0801,0.0439,0.0499,0.1056
IVNCF,200,1,128,128,5e-05,10,0.0001,175,5,Adam,3.3725,0.0534,0.0813,0.0451,0.0504,0.1076
IVNCF,200,1,128,128,5e-05,10,0.0001,180,5,Adam,3.3758,0.0546,0.0826,0.045,0.0518,0.1075
IVNCF,200,1,128,128,5e-05,10,0.0001,185,5,Adam,3.3543,0.0555,0.0844,0.0457,0.053,0.1096
IVNCF,200,1,128,128,5e-05,10,0.0001,190,5,Adam,3.3865,0.0528,0.0798,0.0444,0.0487,0.1066
IVNCF,200,1,128,128,5e-05,10,0.0001,195,5,Adam,3.2981,0.0564,0.0871,0.047,0.055,0.114
IVNCF,200,1,128,128,5e-05,10,0.0001,200,5,Adam,3.3427,0.0554,0.0853,0.0458,0.0526,0.1113

