model,rank,num_layers,batch_size,lambda,topK,learning_rate,epoch,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
IVNCF,100,1,1024,0.0001,,0.0001,50,"[4.3491, 0.0356]","[0.0084, 0.001]","[0.0081, 0.0009]","[0.0079, 0.0008]","[0.0085, 0.0013]","[0.0068, 0.0005]","[0.0245, 0.0015]","[0.0082, 0.0008]","[0.0075, 0.0006]","[0.0069, 0.0005]","[0.0085, 0.0011]","[0.0058, 0.0003]","[0.007, 0.0009]","[0.015, 0.0017]","[0.0212, 0.002]","[0.0265, 0.0023]","[0.0076, 0.0012]","[0.0556, 0.0033]"
IVNCF,100,1,1024,0.0001,,0.0005,50,"[4.7772, 0.0222]","[0.0026, 0.0005]","[0.0026, 0.0005]","[0.0025, 0.0004]","[0.0027, 0.0007]","[0.0021, 0.0003]","[0.0079, 0.0008]","[0.0024, 0.0004]","[0.0024, 0.0003]","[0.0021, 0.0003]","[0.0029, 0.0006]","[0.0018, 0.0002]","[0.0022, 0.0005]","[0.0049, 0.0011]","[0.0073, 0.0013]","[0.0083, 0.0014]","[0.0026, 0.0007]","[0.0185, 0.002]"
IVNCF,100,1,1024,0.0001,,0.001,50,"[4.7838, 0.0218]","[0.0022, 0.0005]","[0.0023, 0.0004]","[0.0023, 0.0004]","[0.0019, 0.0006]","[0.002, 0.0002]","[0.0073, 0.0008]","[0.0024, 0.0004]","[0.0024, 0.0003]","[0.0022, 0.0003]","[0.0023, 0.0006]","[0.0017, 0.0002]","[0.0019, 0.0005]","[0.0049, 0.0011]","[0.0076, 0.0013]","[0.0088, 0.0014]","[0.0021, 0.0007]","[0.0177, 0.002]"
IVNCF,100,1,1024,0.001,,0.0001,50,"[4.3877, 0.0351]","[0.0089, 0.001]","[0.0085, 0.0009]","[0.0081, 0.0008]","[0.0092, 0.0014]","[0.0066, 0.0005]","[0.0235, 0.0015]","[0.0084, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.009, 0.0011]","[0.0054, 0.0003]","[0.0077, 0.001]","[0.0155, 0.0017]","[0.0198, 0.002]","[0.0243, 0.0022]","[0.0082, 0.0013]","[0.0519, 0.0032]"
IVNCF,100,1,1024,0.001,,0.0005,50,"[4.7772, 0.0222]","[0.0026, 0.0005]","[0.0025, 0.0004]","[0.0025, 0.0004]","[0.0025, 0.0006]","[0.0021, 0.0003]","[0.0076, 0.0008]","[0.0024, 0.0004]","[0.0023, 0.0003]","[0.0022, 0.0003]","[0.003, 0.0006]","[0.0018, 0.0002]","[0.0022, 0.0005]","[0.0049, 0.0011]","[0.0073, 0.0013]","[0.0088, 0.0014]","[0.0026, 0.0007]","[0.0179, 0.002]"
IVNCF,100,1,1024,0.001,,0.001,50,"[4.7774, 0.022]","[0.0021, 0.0005]","[0.0022, 0.0004]","[0.0022, 0.0004]","[0.002, 0.0006]","[0.002, 0.0002]","[0.0074, 0.0008]","[0.0024, 0.0004]","[0.0024, 0.0003]","[0.0021, 0.0003]","[0.0021, 0.0006]","[0.0017, 0.0002]","[0.0017, 0.0004]","[0.0049, 0.0011]","[0.0073, 0.0013]","[0.0087, 0.0014]","[0.002, 0.0007]","[0.0176, 0.0019]"
IVNCF,100,1,1024,0.01,,0.0001,50,"[4.767, 0.0223]","[0.0031, 0.0007]","[0.0028, 0.0005]","[0.0027, 0.0005]","[0.0036, 0.0009]","[0.0023, 0.0003]","[0.0086, 0.001]","[0.0024, 0.0004]","[0.0021, 0.0003]","[0.0022, 0.0003]","[0.0029, 0.0006]","[0.0019, 0.0002]","[0.0023, 0.0006]","[0.0049, 0.0011]","[0.0064, 0.0012]","[0.0089, 0.0014]","[0.0026, 0.0007]","[0.0192, 0.002]"
IVNCF,100,1,1024,0.01,,0.0005,50,"[4.7584, 0.0229]","[0.0024, 0.0005]","[0.0024, 0.0004]","[0.0024, 0.0004]","[0.0023, 0.0006]","[0.0022, 0.0003]","[0.0079, 0.0008]","[0.0024, 0.0004]","[0.0024, 0.0003]","[0.0023, 0.0003]","[0.0028, 0.0006]","[0.0018, 0.0002]","[0.0019, 0.0005]","[0.0049, 0.0011]","[0.0074, 0.0013]","[0.0093, 0.0014]","[0.0026, 0.0008]","[0.0186, 0.002]"
IVNCF,100,1,1024,0.01,,0.001,50,"[4.7946, 0.0214]","[0.0019, 0.0004]","[0.002, 0.0004]","[0.0021, 0.0003]","[0.0019, 0.0005]","[0.0019, 0.0002]","[0.0068, 0.0008]","[0.002, 0.0004]","[0.0021, 0.0003]","[0.0022, 0.0003]","[0.0022, 0.0006]","[0.0016, 0.0002]","[0.0016, 0.0004]","[0.004, 0.001]","[0.0067, 0.0012]","[0.0093, 0.0014]","[0.0022, 0.0007]","[0.0162, 0.0019]"
IVNCF,100,1,1024,0.1,,0.0001,50,"[4.7782, 0.0216]","[0.002, 0.0004]","[0.002, 0.0004]","[0.002, 0.0003]","[0.0018, 0.0005]","[0.0019, 0.0002]","[0.0074, 0.0008]","[0.0021, 0.0004]","[0.0021, 0.0003]","[0.002, 0.0003]","[0.0021, 0.0005]","[0.0018, 0.0002]","[0.0014, 0.0004]","[0.0045, 0.001]","[0.0064, 0.0012]","[0.0085, 0.0014]","[0.0021, 0.0007]","[0.018, 0.002]"
IVNCF,100,1,1024,0.1,,0.0005,50,"[4.799, 0.0207]","[0.0023, 0.0006]","[0.0022, 0.0005]","[0.0021, 0.0004]","[0.0026, 0.0008]","[0.0018, 0.0002]","[0.0073, 0.0009]","[0.0021, 0.0004]","[0.0018, 0.0003]","[0.0018, 0.0002]","[0.0022, 0.0005]","[0.0016, 0.0002]","[0.0021, 0.0006]","[0.0038, 0.0009]","[0.005, 0.001]","[0.0068, 0.0012]","[0.0022, 0.0007]","[0.0164, 0.0019]"
IVNCF,100,1,1024,0.1,,0.001,50,"[4.8172, 0.0195]","[0.0021, 0.0006]","[0.0018, 0.0004]","[0.0018, 0.0004]","[0.0027, 0.0008]","[0.0017, 0.0002]","[0.0067, 0.0009]","[0.0013, 0.0003]","[0.0013, 0.0002]","[0.0017, 0.0002]","[0.0021, 0.0005]","[0.0015, 0.0002]","[0.002, 0.0006]","[0.0023, 0.0007]","[0.0037, 0.0009]","[0.0065, 0.0012]","[0.0019, 0.0006]","[0.015, 0.0018]"
IVNCF,100,1,1024,1.0,,0.0001,50,"[4.723, 0.0249]","[0.0034, 0.0006]","[0.0033, 0.0005]","[0.0032, 0.0005]","[0.0035, 0.0009]","[0.0027, 0.0003]","[0.0094, 0.001]","[0.0032, 0.0005]","[0.0031, 0.0004]","[0.0028, 0.0003]","[0.004, 0.0007]","[0.002, 0.0002]","[0.0032, 0.0007]","[0.0062, 0.0011]","[0.0089, 0.0013]","[0.0106, 0.0014]","[0.0041, 0.0009]","[0.0195, 0.0019]"
IVNCF,100,1,1024,1.0,,0.0005,50,"[4.7134, 0.0257]","[0.0049, 0.0008]","[0.0045, 0.0006]","[0.004, 0.0006]","[0.0055, 0.0011]","[0.003, 0.0003]","[0.0103, 0.0011]","[0.0045, 0.0006]","[0.0032, 0.0004]","[0.0027, 0.0003]","[0.0047, 0.0008]","[0.0021, 0.0002]","[0.0044, 0.0009]","[0.0085, 0.0013]","[0.0091, 0.0013]","[0.0104, 0.0014]","[0.0048, 0.001]","[0.0198, 0.002]"
IVNCF,100,1,1024,1.0,,0.001,50,"[4.6162, 0.0295]","[0.0079, 0.0011]","[0.0068, 0.0009]","[0.0062, 0.0007]","[0.0099, 0.0016]","[0.0044, 0.0004]","[0.0155, 0.0014]","[0.0054, 0.0006]","[0.0044, 0.0005]","[0.0039, 0.0004]","[0.0071, 0.001]","[0.003, 0.0002]","[0.0062, 0.001]","[0.0104, 0.0015]","[0.0126, 0.0016]","[0.0149, 0.0017]","[0.0066, 0.0011]","[0.0283, 0.0024]"
